"Can I find 'The Subtle Art of Not Giving a F*ck' somewhere?", "Yep\, audiobook version — Tom has it in his Audible account. (ID: A009)"
"Who owns 'Mario Kart'?", "'Mario Kart' is a Switch game that you both share. It's in the game case. (ID: G022)"
"Do we have 'The Catcher in the Rye'?", "Yes\, it's a paperback book owned by Brenna. It's on the living room shelf. (ID: B019)"
"Where's 'The Legend of Zelda: Breath of the Wild'?", "'Breath of the Wild' is a Switch game that Tom owns. It's in the game case. (ID: G031)"
"Can I watch 'Inception'?", "'Inception' is a Blu-ray owned by Tom. It's in the black DVD binder. (ID: D015)"
"Do we own 'The Alchemist'?", "Yep\, it's a hardcover book on the bedroom shelf. Brenna owns it. (ID: B020)"
"Who has 'Hollow Knight'?", "'Hollow Knight' is a digital game on Steam that Tom owns. (ID: G032)"
"Where can I find 'Frozen'?", "'Frozen' is a DVD in the kids' movie binder. Brenna owns it. (ID: D016)"
"Is '1984' still in our collection?", "Yes\, it's a paperback book on the hallway bookshelf. Tom owns it. (ID: B021)"
"Do we have 'The Godfather'?", "'The Godfather' is a Blu-ray owned by Tom. It's in the top drawer of the TV console. (ID: D017)"
"Can I listen to 'Atomic Habits'?", "'Atomic Habits' is an audiobook in Brenna's Audible account. (ID: A011)"
"Where's 'Super Mario Odyssey'?", "'Super Mario Odyssey' is a Switch game owned by Brenna. It's in the game case. (ID: G033)"
"Do we still have 'The Hunger Games'?", "Yes\, it's a hardcover book on the living room shelf. Brenna owns it. (ID: B022)"
"Who owns 'Portal 2'?", "'Portal 2' is a Steam game that Tom owns. It's digital. (ID: G034)"
"Where can I watch 'The Lion King'?", "'The Lion King' is a DVD in the kids' movie binder. Brenna owns it. (ID: D018)"
"Do we have 'The Road'?", "'The Road' is a paperback book on the bedroom shelf. Tom owns it. (ID: B023)"
"Can I play 'Overwatch'?", "'Overwatch' is a digital game on Tom's Battle.net account. (ID: G035)"
"Where's 'Moana'?", "'Moana' is a Blu-ray owned by Brenna. It's in the kids' movie binder. (ID: D019)"
"Do we own 'The Shining'?", "'The Shining' is a hardcover book on the hallway bookshelf. Tom owns it. (ID: B024)"
"Who has 'Dark Souls III'?", "'Dark Souls III' is a PS5 game owned by Tom. It's in the media cabinet. (ID: G036)"
"Where can I find 'Coco'?", "'Coco' is a DVD in the kids' movie binder. Brenna owns it. (ID: D020)"
"Is 'The Kite Runner' in our collection?", "Yes\, it's a paperback book on the living room shelf. Brenna owns it. (ID: B025)"
"Do we have 'Sekiro: Shadows Die Twice'?", "'Sekiro' is a PS5 game owned by Tom. It's in the game shelf. (ID: G037)"
"Can I listen to 'Becoming'?", "'Becoming' is an audiobook in Brenna's Audible account. (ID: A006)"
"Where's 'The Avengers'?", "'The Avengers' is a Blu-ray owned by Tom. It's in the black DVD binder. (ID: D021)"
"Do we still have 'The Fault in Our Stars'?", "Yes\, it's a paperback book on the bedroom shelf. Brenna owns it. (ID: B026)"
"Who owns 'Minecraft'?", "'Minecraft' is a digital game on Tom's Xbox account. (ID: G038)"
"Do we have 'Sherlock' on DVD?", "'Sherlock' is a Blu-ray box set owned by Tom. It's in the black DVD binder. (ID: D039)"
"Where can I find 'Doctor Who'?", "'Doctor Who' is a digital series on Brenna's Amazon Prime account. (ID: S001)"
"Is 'Luther' in our collection?", "Yes\, 'Luther' is a Blu-ray set owned by Tom. It's in the top drawer of the TV console. (ID: D040)"
"Do we own 'The Office (UK)'?", "'The Office (UK)' is a DVD set owned by Brenna. It's in the comedy section of the DVD shelf. (ID: D041)"
"Can I watch 'Peaky Blinders'?", "'Peaky Blinders' is a digital series on Tom's Netflix account. (ID: S002)"
"Where's 'Planet Earth'?", "'Planet Earth' is a Blu-ray documentary owned by Brenna. It's in the nature section of the DVD shelf. (ID: D042)"
"Do we have 'Top Gear'?", "'Top Gear' is a DVD set owned by Tom. It's in the car shows section of the media cabinet. (ID: D043)"
"Who owns 'The Great British Bake Off'?", "'The Great British Bake Off' is a digital series on Brenna's Netflix account. (ID: S003)"
"Where can I find 'Killing Eve'?", "'Killing Eve' is a Blu-ray set owned by Brenna. It's in the thriller section of the DVD shelf. (ID: D044)"
"Is 'Black Mirror' part of our collection?", "'Black Mirror' is a digital series on Tom's Netflix account. (ID: S004)"
"Do we own 'The Crown'?", "'The Crown' is a digital series on Brenna's Netflix account. (ID: S005)"
"Can I watch 'Downton Abbey'?", "'Downton Abbey' is a Blu-ray set owned by Brenna. It's in the drama section of the DVD shelf. (ID: D045)"
"Where's 'The Blue Planet'?", "'The Blue Planet' is a Blu-ray documentary owned by Tom. It's in the nature section of the DVD shelf. (ID: D046)"
"Do we have 'Torchwood'?", "'Torchwood' is a DVD set owned by Tom. It's in the sci-fi section of the media cabinet. (ID: D047)"
"Who owns 'Call the Midwife'?", "'Call the Midwife' is a Blu-ray set owned by Brenna. It's in the drama section of the DVD shelf. (ID: D048)"
"Where can I find 'Line of Duty'?", "'Line of Duty' is a Blu-ray set owned by Tom. It's in the thriller section of the DVD shelf. (ID: D049)"
"Is 'The IT Crowd' in our collection?", "'The IT Crowd' is a DVD set owned by Brenna. It's in the comedy section of the DVD shelf. (ID: D050)"
"Do we own 'Fawlty Towers'?", "'Fawlty Towers' is a DVD set owned by Tom. It's in the classic comedy section of the media cabinet. (ID: D051)"
"Can I watch 'The Bodyguard'?", "'The Bodyguard' is a digital series on Brenna's Netflix account. (ID: S006)"
"Where's 'The Thick of It'?", "'The Thick of It' is a DVD set owned by Tom. It's in the political comedy section of the DVD shelf. (ID: D052)"
"Do we have 'Spooks'?", "'Spooks' is a Blu-ray set owned by Brenna. It's in the thriller section of the DVD shelf. (ID: D053)"
"Who owns 'The Vicar of Dibley'?", "'The Vicar of Dibley' is a DVD set owned by Brenna. It's in the comedy section of the DVD shelf. (ID: D054)"
"Where can I find 'Pride and Prejudice (1995)'?", "'Pride and Prejudice (1995)' is a Blu-ray set owned by Brenna. It's in the period drama section of the DVD shelf. (ID: D055)"
"Is 'The Night Manager' part of our collection?", "'The Night Manager' is a Blu-ray set owned by Tom. It's in the thriller section of the DVD shelf. (ID: D056)"
"Do we own 'The Outlaws'?", "'The Outlaws' is a digital series on Brenna's Amazon Prime account. (ID: S007)"
"Do we have 'Starfield'?", "'Starfield' is a digital game on Tom's Xbox Game Pass account. (ID: G101)"
"Where's 'Baldur's Gate 3'?", "'Baldur's Gate 3' is a Steam game owned by Brenna. It's digital. (ID: G102)"
"Can I play 'Spider-Man 2'?", "'Spider-Man 2' is a PS5 game owned by Tom. It's in the media cabinet. (ID: G103)"
"Who owns 'Hogwarts Legacy'?", "'Hogwarts Legacy' is a PS5 game owned by Brenna. It's on the game shelf. (ID: G104)"
"Is 'The Legend of Zelda: Tears of the Kingdom' in our collection?", "'Tears of the Kingdom' is a Switch game owned by Brenna. It's in the game case. (ID: G105)"
"Do we have 'Elden Ring'?", "'Elden Ring' is a PS5 game owned by Tom. It's in the media cabinet. (ID: G106)"
"Where can I find 'Final Fantasy XVI'?", "'Final Fantasy XVI' is a PS5 game owned by Brenna. It's on the game shelf. (ID: G107)"
"Is 'Diablo IV' part of our collection?", "'Diablo IV' is a digital game on Tom's Battle.net account. (ID: G108)"
"Do we own 'Armored Core VI'?", "'Armored Core VI' is a PS5 game owned by Tom. It's in the media cabinet. (ID: G109)"
"Can I play 'Alan Wake 2'?", "'Alan Wake 2' is a digital game on Brenna's Epic Games account. (ID: G110)"
"Where's 'Cyberpunk 2077: Phantom Liberty'?", "'Phantom Liberty' is a digital expansion on Tom's Steam account. (ID: G111)"
"Do we have 'Lies of P'?", "'Lies of P' is a PS5 game owned by Brenna. It's on the game shelf. (ID: G112)"
"Who owns 'Street Fighter 6'?", "'Street Fighter 6' is a PS5 game owned by Tom. It's in the media cabinet. (ID: G113)"
"Is 'Mortal Kombat 1' in our collection?", "'Mortal Kombat 1' is a PS5 game owned by Brenna. It's on the game shelf. (ID: G114)"
"Do we have 'Pikmin 4'?", "'Pikmin 4' is a Switch game owned by Brenna. It's in the game case. (ID: G115)"
"Where can I find 'Remnant 2'?", "'Remnant 2' is a digital game on Tom's Steam account. (ID: G116)"
"Can I play 'Forza Motorsport'?", "'Forza Motorsport' is a digital game on Tom's Xbox Game Pass account. (ID: G117)"
"Do we own 'Assassin's Creed Mirage'?", "'Assassin's Creed Mirage' is a PS5 game owned by Brenna. It's on the game shelf. (ID: G118)"
"Where's 'Hades II'?", "'Hades II' is a digital game on Brenna's Steam account. (ID: G119)"
"Is 'Payday 3' part of our collection?", "'Payday 3' is a digital game on Tom's Steam account. (ID: G120)"
"Do we have 'The Callisto Protocol'?", "'The Callisto Protocol' is a PS5 game owned by Tom. It's in the media cabinet. (ID: G121)"
"Who owns 'Dead Space (2023)'?", "'Dead Space (2023)' is a PS5 game owned by Brenna. It's on the game shelf. (ID: G122)"
"Can I play 'Returnal'?", "'Returnal' is a PS5 game owned by Tom. It's in the media cabinet. (ID: G123)"
"Where's 'Hi-Fi Rush'?", "'Hi-Fi Rush' is a digital game on Brenna's Xbox Game Pass account. (ID: G124)"
"Do we have 'Sonic Superstars'?", "'Sonic Superstars' is a Switch game owned by Brenna. It's in the game case. (ID: G125)"
"Where's 'The Great Gatsby'?", "'The Great Gatsby' went missing during the move. (ID: B017)"
"Do we still have 'Gone Girl'?", "'Gone Girl' is missing — we haven't seen it in a while. (ID: B014)"
"Who borrowed 'The Catcher in the Rye'?", "'The Catcher in the Rye' is with Sarah. She borrowed it last month. (ID: B019)"
"Is 'The Hobbit' still here?", "'The Hobbit' was lent to Mike. He hasn't returned it yet. (ID: B007)"
"Where's 'The Matrix' DVD?", "'The Matrix' is missing. We last saw it in the black DVD binder. (ID: D002)"
"Do we have 'Harry Potter and the Sorcerer's Stone'?", "'Harry Potter and the Sorcerer's Stone' was borrowed by Emma. (ID: A003)"
"Who has 'Cyberpunk 2077'?", "'Cyberpunk 2077' is missing. We can't find it in the Steam library. (ID: G012)"
"Where's 'Blade Runner 2049'?", "'Blade Runner 2049' was lent to John. He said he'd return it soon. (ID: D006)"
"Is 'The Hunger Games' still around?", "'The Hunger Games' is missing. It was last seen on the living room shelf. (ID: B022)"
"Who borrowed 'The Fault in Our Stars'?", "'The Fault in Our Stars' is with Lisa. She borrowed it a few weeks ago. (ID: B026)"
"Where's 'The Avengers'?", "'The Avengers' Blu-ray is missing. It was last in the black DVD binder. (ID: D021)"
"Do we still have 'The Road'?", "'The Road' was lent to Alex. He hasn't returned it yet. (ID: B023)"
"Who has 'Inside Out'?", "'Inside Out' is missing. It was supposed to be in the kids' movie binder. (ID: D012)"
"Where's 'The Subtle Art of Not Giving a F*ck'?", "'The Subtle Art of Not Giving a F*ck' audiobook is missing from Tom's Audible account. (ID: A009)"
"Is 'The Lion King' still here?", "'The Lion King' DVD is missing. It was last seen in the kids' movie binder. (ID: D018)"
"Who borrowed 'The Shining'?", "'The Shining' was lent to Rachel. She said she'd return it next week. (ID: B024)"
"Where's 'The Kite Runner'?", "'The Kite Runner' is missing. It was last seen on the living room shelf. (ID: B025)"
"Do we have 'The Godfather'?", "'The Godfather' Blu-ray is missing. It was last in the top drawer of the TV console. (ID: D017)"
"Who has 'Frozen'?", "'Frozen' DVD is missing. It was supposed to be in the kids' movie binder. (ID: D016)"
"Where's 'Moana'?", "'Moana' Blu-ray is missing. It was last seen in the kids' movie binder. (ID: D019)"
"Is 'The Crown' still available?", "'The Crown' digital series is missing from Brenna's Netflix account. (ID: S005)"
"Who borrowed 'Downton Abbey'?", "'Downton Abbey' Blu-ray set is with Claire. She borrowed it last month. (ID: D045)"
"Where's 'The Blue Planet'?", "'The Blue Planet' Blu-ray is missing. It was last in the nature section of the DVD shelf. (ID: D046)"
"Do we still have 'Torchwood'?", "'Torchwood' DVD set is missing. It was last in the sci-fi section of the media cabinet. (ID: D047)"
"Who has 'Call the Midwife'?", "'Call the Midwife' Blu-ray set is with Anna. She borrowed it recently. (ID: D048)"
user_input,bot_response
"Where is 'Dune'?", "Yep\, Tom's hardcover copy of 'Dune' is on the living room shelf\, id b001."
"Do we have 'Gone Girl'?", "'Gone Girl' is actually missing right now; we haven't seen it in a while\, id b014."
"Who owns 'The Hobbit'?", "'The Hobbit' audiobook belongs to Brenna\, found in the bedroom shelf\, id b007."
"Is 'Inside Out' on DVD?", "Yep\, Tom's copy is in the black DVD binder\, id d002."
"Do we own 'Sunrise on the Reaping'?", "No\, we don’t have 'Sunrise on the Reaping' in any format."
"Is 'Cyberpunk 2077' on PS5?", "Yes\, Brenna's PS5 game 'Cyberpunk 2077' is in the game cabinet\, id g011."
"Do we have 'The Great Gatsby' as an audiobook?", "No audiobook for 'The Great Gatsby'\, but Tom's hardcover is on the living room shelf\, id b005."
"Is 'Super Mario Odyssey' a Switch game?", "Yep\, Brenna’s 'Super Mario Odyssey' Switch game is in the game cabinet\, id s012."
"Where’s 'Inception' Blu-ray?", "Tom's Blu-ray of 'Inception' is in the living room media shelf\, id d008."
"Who owns 'The Martian'?", "'The Martian' Kindle edition is owned by Tom\, in his Amazon library\, id a009."
"Is 'Dune' lost?", "No\, 'Dune' is safe on the living room shelf\, id b001."
"Do we share ownership of 'The Witcher 3'?", "Yes\, 'The Witcher 3' on Steam is shared between Tom and Brenna\, id st015."
"Is 'Becoming' an audiobook by Brenna?", "Yep\, Brenna's audiobook 'Becoming' is on her phone app\, id ab010."
"Where is 'Frozen II' DVD?", "'Frozen II' DVD is with Brenna in her room\, id d013."
"Do we own 'The Expanse' book series?", "Yes\, Tom has the hardcover 'The Expanse' books on the bedroom shelf\, id b020."
"Is 'Halo Infinite' available on Xbox?", "No Xbox games owned\, but Brenna has 'Halo Infinite' on Steam\, id st018."
"Who owns 'Ready Player One' audiobook?", "Tom owns 'Ready Player One' audiobook\, stored on his Audible account\, id ab016."
"Is 'The Mandalorian' on DVD?", "No DVDs of 'The Mandalorian'\, only streaming."
"Where is 'Call of Duty' PS5 game?", "Brenna's 'Call of Duty' PS5 game is in the game cabinet\, id g021."
"Do we have 'Normal People' as an audiobook?", "Yes\, Tom’s copy of 'Normal People' audiobook is on his phone\, id ab022."
"Who owns 'Dark Souls' on Steam?", "Tom owns 'Dark Souls' on Steam\, id st023."
"Is 'The Alchemist' book lost?", "'The Alchemist' is missing from the bookshelf\, last seen months ago\, id b024."
"Do we own 'Spider-Man: Miles Morales' on PS5?", "Yes\, Brenna's 'Spider-Man: Miles Morales' PS5 game is in the cabinet\, id g025."
"Where is 'The Queen’s Gambit' DVD?", "'The Queen’s Gambit' DVD is in the living room binder\, Tom's copy\, id d026."
"Is 'Educated' audiobook Brenna’s?", "Yes\, Brenna's audiobook 'Educated' is on her Audible app\, id ab027."
"Do we have 'Animal Crossing' on Switch?", "Yes\, Tom’s 'Animal Crossing' Switch game is in the game cabinet\, id s028."
"Where is 'Blade Runner 2049' Blu-ray?", "'Blade Runner 2049' Blu-ray is in the media shelf\, Brenna's copy\, id d029."
"Who owns 'Harry Potter' Kindle edition?", "Tom owns the 'Harry Potter' Kindle books in his Amazon library\, id a030."
"Is 'The Office' DVD set complete?", "Yes\, complete DVD set owned by Brenna\, in her media binder\, id d031."
"Do we share 'Overwatch' on Steam?", "Yes\, 'Overwatch' Steam account is shared between Tom and Brenna\, id st032."
"Is 'Becoming' audiobook lost?", "No\, Brenna's 'Becoming' audiobook is safely on her phone\, id ab010."
"Who owns 'The Witcher 3' on PS5?", "Only Steam version owned\, no PS5 copy for 'The Witcher 3'."
"Is 'Call of Duty' Switch game available?", "No\, 'Call of Duty' is only on PS5 for Brenna\, id g021."
"Where is 'Breaking Bad' DVD?", "Tom’s 'Breaking Bad' DVD is in the living room binder\, id d033."
"Do we have 'Dune' audiobook?", "No audiobook\, just the hardcover owned by Tom\, id b001."
"Who owns 'Super Mario Odyssey' Switch game?", "Brenna owns 'Super Mario Odyssey' Switch game\, id s012."
"Is 'Halo Infinite' Steam game lost?", "'Halo Infinite' Steam game is safe in Brenna’s Steam library\, id st018."
"Do we have 'The Great Gatsby' book?", "Yes\, Tom's hardcover copy is on the living room shelf\, id b005."
user_input,bot_response
"Where can I find the audiobook 'The Silent Patient'?", "Brenna's audiobook\, 'The Silent Patient'\, is on her phone app\, id ab034."
"Is 'Stranger Things' DVD available?", "Yes\, Tom's copy of 'Stranger Things' DVD is in the living room media binder\, id d035."
"Do we own 'Death Stranding' on PS5?", "Yes\, Brenna owns 'Death Stranding' on PS5\, stored in the game cabinet\, id g036."
"Who has 'Educated' audiobook?", "That's Brenna's audiobook\, 'Educated'\, located on her Audible app\, id ab027."
"Is 'The Witcher 3' lost or available?", "No\, 'The Witcher 3' on Steam is available\, shared by Tom and Brenna\, id st015."
"Do we share ownership of 'Cyberpunk 2077'?", "No\, 'Cyberpunk 2077' PS5 game is Brenna's alone\, kept in the game cabinet\, id g011."
"Is 'The Alchemist' hardcover in the bedroom?", "No\, 'The Alchemist' hardcover is missing from the bedroom shelf\, id b024."
"Where is Tom's copy of 'Inception' DVD?", "Tom's 'Inception' DVD is in the black binder in the living room\, id d008."
"Who owns the 'Harry Potter' Kindle editions?", "Tom owns the 'Harry Potter' Kindle editions in his Amazon library\, id a030."
"Do we have 'Super Mario Odyssey' on Switch?", "Yes\, Brenna owns 'Super Mario Odyssey' Switch game\, located in the game cabinet\, id s012."
"Is 'Dune' available as an audiobook?", "No audiobook\, only Tom's hardcover of 'Dune' on the living room shelf\, id b001."
"Do we have 'The Expanse' book series?", "Yes\, Tom has the hardcover 'The Expanse' books on the bedroom shelf\, id b020."
"Is 'Halo Infinite' on Steam or Xbox?", "Brenna owns 'Halo Infinite' on Steam\, no Xbox version\, id st018."
"Where is 'The Queen’s Gambit' DVD?", "Tom's 'The Queen’s Gambit' DVD is in the living room binder\, id d026."
"Do we own 'Call of Duty' on PS5?", "Brenna's 'Call of Duty' PS5 game is in the game cabinet\, id g021."
"Is 'Becoming' audiobook lost?", "No\, Brenna's audiobook 'Becoming' is safe on her phone app\, id ab010."
"Who owns 'Dark Souls' on Steam?", "Tom owns 'Dark Souls' on Steam\, id st023."
"Where can I find 'Normal People' audiobook?", "Tom's copy of 'Normal People' audiobook is on his phone\, id ab022."
"Is 'The Office' DVD set complete?", "Yes\, Brenna has the complete 'The Office' DVD set in her media binder\, id d031."
"Do we share 'Overwatch' on Steam?", "Yes\, 'Overwatch' Steam account is shared between Tom and Brenna\, id st032."
"Where is the 'Frozen II' DVD?", "Brenna's 'Frozen II' DVD is in her room\, id d013."
"Who owns the 'Ready Player One' audiobook?", "Tom owns 'Ready Player One' audiobook\, stored on his Audible account\, id ab016."
"Is 'Spider-Man: Miles Morales' PS5 game available?", "Yes\, Brenna's 'Spider-Man: Miles Morales' PS5 game is in the game cabinet\, id g025."
"Do we have 'Animal Crossing' on Switch?", "Yes\, Tom owns 'Animal Crossing' Switch game in the game cabinet\, id s028."
"Is 'Blade Runner 2049' Blu-ray lost?", "No\, Brenna's 'Blade Runner 2049' Blu-ray is in the media shelf\, id d029."
"Do we own 'The Great Gatsby' hardcover?", "Yes\, Tom's hardcover copy of 'The Great Gatsby' is on the living room shelf\, id b005."
"Is 'Gone Girl' book missing?", "'Gone Girl' hardcover is currently missing\, last seen months ago\, id b014."
"Who owns 'The Martian' Kindle edition?", "Tom owns 'The Martian' Kindle edition\, id a009."
"Is 'Breaking Bad' DVD in the media binder?", "Tom's 'Breaking Bad' DVD is in the living room binder\, id d033."
"Do we have 'The Hobbit' audiobook?", "Yes\, Brenna owns 'The Hobbit' audiobook\, in the bedroom shelf\, id b007."
"Where is 'Cyberpunk 2077' PS5 game?", "Brenna's 'Cyberpunk 2077' PS5 game is in the game cabinet\, id g011."
"Is 'Dune' hardcover lost or available?", "'Dune' hardcover is available on the living room shelf\, id b001."
"Who owns 'The Witcher 3' Steam copy?", "Shared ownership between Tom and Brenna for 'The Witcher 3' on Steam\, id st015."
"Is 'Educated' audiobook on Brenna’s phone?", "Yes\, 'Educated' audiobook is on Brenna's phone app\, id ab027."
"Do we have 'Super Mario Odyssey' in the game cabinet?", "Yes\, Brenna’s 'Super Mario Odyssey' Switch game is in the game cabinet\, id s012."
"Where is 'Halo Infinite' Steam game?", "'Halo Infinite' is safe in Brenna’s Steam library\, id st018."
"Is 'The Alchemist' hardcover missing?", "'The Alchemist' hardcover is currently missing from the bookshelf\, id b024."
"Who owns 'Call of Duty' PS5?", "Brenna owns 'Call of Duty' PS5 game in the game cabinet\, id g021."
"Do we have 'Normal People' audiobook?", "Yes\, Tom owns 'Normal People' audiobook on his phone\, id ab022."
"Is 'The Office' DVD set owned by Brenna?", "Yes\, Brenna owns the complete DVD set of 'The Office'\, id d031."
"Where is 'Overwatch' Steam account?", "Shared between Tom and Brenna\, id st032."
"Is 'The Silent Patient' audiobook Brenna's?", "Yes\, Brenna's 'The Silent Patient' audiobook is on her phone app\, id ab034."
"Do we have 'Death Stranding' PS5 game?", "Brenna owns 'Death Stranding' PS5 game\, in the game cabinet\, id g036."
"Who owns 'Stranger Things' DVD?", "Tom owns 'Stranger Things' DVD\, stored in the living room media binder\, id d035."
"Is 'Blade Runner 2049' Blu-ray with Brenna?", "Yes\, Brenna’s copy of 'Blade Runner 2049' Blu-ray is in the media shelf\, id d029."
user_input,bot_response
"Hey\, wheres the book Dune?", "Oh yeah\, Dune is on the living room shelf. Its a hardcover that Tom owns. (ID: B001)"
"Do we have Animal Crossing?", "Yep! Animal Crossing is a Switch game Brenna owns. It should be in the Switch game case. (ID: G004)"
"Is The Last of Us Part II a movie or a game?", "Thats a PS5 game\, not a movie. Tom has it\, and its in the media cabinet. (ID: G009)"
"Do we own Harry Potter and the Sorcerers Stone?", "Totally. Weve got it as an audiobook in Brennas Audible account. (ID: A003)"
"Where can I find Blade Runner 2049?", "Blade Runner 2049 is a Blu-ray that Tom owns. Its in the top drawer of the TV console. (ID: D006)"
"Can I play Cyberpunk 2077 on the PS5?", "Not exactly — its the Steam version Tom owns\, so its digital. (ID: G012)"
"Which Switch games does Brenna have?", "Brennas got Animal Crossing and Stardew Valley for Switch. Both are in the game case. (IDs: G004\, G015)"
"Whats the format for Pride and Prejudice?", "Its a paperback book. Brenna owns it\, and its on the bedroom shelf. (ID: B008)"
"Do we still have The Matrix DVD?", "Yep! Toms copy is in the black DVD binder. (ID: D002)"
"Do we have an audiobook version of Dune too?", "Actually\, yeah — Brenna has it on Audible as well. (ID: A010)"
"Who owns Red Dead Redemption 2?", "That ones Toms. Its a PS5 game on the game shelf. (ID: G018)"
"Where can I listen to Educated?", "Educated is on Audible under Brennas account. (ID: A005)"
"Do we have Stardew Valley anywhere?", "Yup! Brenna owns it on the Switch. Its in the Switch case. (ID: G015)"
"Is The Hobbit a real book or digital?", "Its a hardcover on the hallway bookshelf. Tom owns it. (ID: B007)"
"Wheres our copy of Interstellar?", "Interstellar is a Blu-ray. Toms copy is in the DVD binder. (ID: D009)"
"What kind of media is Becoming?", "That ones an audiobook. Brenna has it on Audible. (ID: A006)"
"Does Tom have any digital games?", "For sure. Hes got Cyberpunk 2077 and Hades on Steam. (IDs: G012\, G020)"
"Wheres Hades saved?", "Hades is digital — its in Toms Steam library. (ID: G020)"
"Do we own any books by Jane Austen?", "We have Pride and Prejudice by Jane Austen — Brennas copy. Its a paperback. (ID: B008)"
"Is Ghost of Tsushima in our collection?", "Yeah\, thats a PS5 game owned by Tom. Its on the game shelf. (ID: G021)"
"Is Gone Girl still around?", "Hmm\, Gone Girl is actually missing right now — we havent seen it in a while. (ID: B014)"
"Who owns Celeste?", "Celeste is a digital game on Switch that both Tom and Brenna play. Shared ownership! (ID: G030)"
"Do we both have access to The Witcher 3?", "Yep\, thats a shared Steam game. You both can access it from the shared library. (ID: G025)"
"Did we lose The Great Gatsby?", "Yeah... unfortunately it looks like The Great Gatsby went missing during the move. (ID: B017)"
"Wheres Inside Out?", "Inside Out is a DVD that Brenna owns. It should be in the kids movie binder. (ID: D012)"
"Can I find The Subtle Art of Not Giving a F*ck somewhere?", "Yep\, audiobook version — Tom has it in his Audible account. (ID: A009)"
"Who owns Mario Kart?", "Mario Kart is a Switch game that you both share. Its in the game case. (ID: G022)"
"Do we have The Catcher in the Rye?", "Yes\, its a paperback book owned by Brenna. Its on the living room shelf. (ID: B019)"
"Wheres The Legend of Zelda: Breath of the Wild?", "Breath of the Wild is a Switch game that Tom owns. Its in the game case. (ID: G031)"
"Can I watch Inception?", "Inception is a Blu-ray owned by Tom. Its in the black DVD binder. (ID: D015)"
"Do we own The Alchemist?", "Yep\, its a hardcover book on the bedroom shelf. Brenna owns it. (ID: B020)"
"Who has Hollow Knight?", "Hollow Knight is a digital game on Steam that Tom owns. (ID: G032)"
"Where can I find Frozen?", "Frozen is a DVD in the kids movie binder. Brenna owns it. (ID: D016)"
"Is 1984 still in our collection?", "Yes\, its a paperback book on the hallway bookshelf. Tom owns it. (ID: B021)"
